anonID,importId,goal,goal_number,goal_type,optimal_moves,move_id,move,move_utility
eaQPMu21DT,26316,clear nocolor C,2,clear,11,0,"(84, 81)",1
eaQPMu21DT,26316,clear nocolor C,2,clear,11,1,"(86, 69)",0
eaQPMu21DT,26316,clear nocolor C,2,clear,11,2,"(103, 63)",1
eaQPMu21DT,26316,clear nocolor C,2,clear,11,3,"(104, 70)",0
eaQPMu21DT,26316,clear nocolor C,2,clear,11,4,"(102, 64)",1
eaQPMu21DT,26316,clear nocolor C,2,clear,11,5,"(69, 80)",1
eaQPMu21DT,26316,clear nocolor C,2,clear,11,6,"(70, 61)",1
eaQPMu21DT,26316,clear nocolor C,2,clear,11,7,"(87, 62)",1
eaQPMu21DT,26316,clear nocolor C,2,clear,11,8,"(88, 78)",1
eaQPMu21DT,26316,clear nocolor C,2,clear,11,9,"(89, 60)",1
eaQPMu21DT,26316,clear nocolor C,2,clear,11,10,"(105, 65)",1
eaQPMu21DT,26316,clear nocolor C,2,clear,11,11,"(106, 59)",1
eaQPMu21DT,26316,clear nocolor C,2,clear,11,12,"(107, 75)",1
eaQPMu21DT,26316,cover blue all,3,cover,6,0,"(58, 92)",0
eaQPMu21DT,26316,cover blue all,3,cover,6,1,"(76, 74)",-1
eaQPMu21DT,26316,cover blue all,3,cover,6,2,"(77, 61)",-1
eaQPMu21DT,26316,cover blue all,3,cover,6,3,"(86, 85)",-1
eaQPMu21DT,26316,cover blue all,3,cover,6,4,"(88, 69)",-1
eaQPMu21DT,26316,cover blue all,3,cover,6,5,"(61, 75)",1
eaQPMu21DT,26316,cover blue all,3,cover,6,6,"(79, 76)",1
eaQPMu21DT,26316,cover blue all,3,cover,6,7,"(72, 77)",1
eaQPMu21DT,26316,cover blue all,3,cover,6,8,"(73, 78)",1
eaQPMu21DT,26316,cover blue all,3,cover,6,9,"(82, 80)",1
eaQPMu21DT,26316,cover blue all,3,cover,6,10,"(84, 81)",1
eaQPMu21DT,26316,cover blue all,3,cover,6,11,"(85, 65)",1
eaQPMu21DT,26316,cover blue all,3,cover,6,12,"(103, 51)",1
eaQPMu21DT,26316,cover blue all,3,cover,6,13,"(102, 86)",1
eaQPMu21DT,26316,cover blue all,3,cover,6,14,"(89, 88)",1
eaQPMu21DT,26316,cover red all,4,cover,5,0,"(77, 40)",1
eaQPMu21DT,26316,cover red all,4,cover,5,1,"(96, 61)",1
eaQPMu21DT,26316,cover red all,4,cover,5,2,"(93, 55)",1
eaQPMu21DT,26316,cover red all,4,cover,5,3,"(99, 64)",1
eaQPMu21DT,26316,cover red all,4,cover,5,4,"(86, 69)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,0,"(79, 75)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,1,"(97, 59)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,2,"(98, 57)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,3,"(96, 39)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,4,"(99, 40)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,5,"(82, 41)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,6,"(100, 21)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,7,"(83, 22)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,8,"(84, 23)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,9,"(101, 3)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,10,"(72, 4)",1
eaQPMu21DT,26316,fill nocolor A2,5,fill,12,11,"(73, 5)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,0,"(79, 81)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,1,"(84, 63)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,2,"(102, 65)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,3,"(103, 64)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,4,"(86, 45)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,5,"(87, 46)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,6,"(104, 47)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,7,"(105, 27)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,8,"(88, 28)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,9,"(89, 29)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,10,"(106, 9)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,11,"(107, 10)",1
eaQPMu21DT,26316,fill nocolor B2,6,fill,13,12,"(58, 11)",1
eaQPMu21DT,26316,move green B2,7,move,10,0,"(84, 81)",1
eaQPMu21DT,26316,move green B2,7,move,10,1,"(102, 63)",1
eaQPMu21DT,26316,move green B2,7,move,10,2,"(103, 64)",1
eaQPMu21DT,26316,move green B2,7,move,10,3,"(86, 65)",1
eaQPMu21DT,26316,move green B2,7,move,10,4,"(89, 45)",1
eaQPMu21DT,26316,move green B2,7,move,10,5,"(107, 46)",1
eaQPMu21DT,26316,move green B2,7,move,10,6,"(72, 47)",1
eaQPMu21DT,26316,move green B2,7,move,10,7,"(77, 27)",1
eaQPMu21DT,26316,move green B2,7,move,10,8,"(58, 77)",1
eaQPMu21DT,26316,move green B2,7,move,10,9,"(76, 28)",1
eaQPMu21DT,26316,move red C1,8,move,11,0,"(82, 85)",1
eaQPMu21DT,26316,move red C1,8,move,11,1,"(100, 66)",1
eaQPMu21DT,26316,move red C1,8,move,11,2,"(87, 67)",1
eaQPMu21DT,26316,move red C1,8,move,11,3,"(79, 68)",1
eaQPMu21DT,26316,move red C1,8,move,11,4,"(97, 48)",1
eaQPMu21DT,26316,move red C1,8,move,11,5,"(58, 49)",1
eaQPMu21DT,26316,move red C1,8,move,11,6,"(73, 50)",1
eaQPMu21DT,26316,move red C1,8,move,11,7,"(105, 30)",1
